GEOID,FID,Name,Zone,Source,Shape_Leng,Shape_Area
1500000US220330040131000,118,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,6596.37497,304913.4836
1500000US220330040131001,119,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,1261.848775,57119.07512
1500000US220330040132000,120,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,3165.868581,130747.8028
1500000US220330040132001,121,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,1932.493137,129820.1529
1500000US220330040132002,122,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,964.1034496,17512.77894
1500000US220330040133004,123,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,7348.618085,97771.08467
1500000US220330040133006,124,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,739.5603288,5889.974878
1500000US220330040134000,125,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,3163.125342,10985.19087
1500000US220330040134001,126,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,425.0920077,600.0985939
1500000US220330040232001,127,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,163.9094761,277.6413428
1500000US220330040241000,128,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,3162.786322,10984.95593
1500000US220330040241001,129,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,424.7330375,599.9148644
1500000US220330040241002,130,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,163.9799465,277.9008505
1500000US220330040241003,131,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,739.5562719,5890.343514
1500000US220330040241004,505,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,1990.598032,16107.98044
1500000US220330040242000,506,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,15624.4185,1434383.006
1500000US220330040242001,507,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,90.74862706,161.7948799
1500000US220330040242002,508,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,89.24146504,232.2487415
1500000US220330040242003,509,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,1315.894906,37598.73517
1500000US220330040242004,510,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,734.1633331,4199.499909
1500000US220330040242005,511,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,50.25720769,133.9575302
1500000US220330040242006,512,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,117.3940384,306.8692824
1500000US220330040242007,513,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,97.15382493,446.1298026
1500000US220330040242008,514,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,158.783323,384.7164852
1500000US220330040242009,515,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,10609.84574,739443.0664
1500000US220330040243003,516,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,504.3785391,7575.586284
1500000US220330040251003,517,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,95.14478197,233.5186109
1500000US220330040251004,518,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,180.3098281,1132.973593
1500000US220330040251005,519,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,2166.620126,17937.59116
1500000US220330040251006,520,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,221.0459787,1256.422918
1500000US220330040251007,521,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,2561.510549,70790.57893
1500000US220330040251008,522,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,121.787027,423.5773389
1500000US220330040251009,523,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,305.097449,2715.365555
1500000US220330040251010,524,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,352.1855406,3627.38522
1500000US220330040251011,525,East_Baton_Rouge,AE,S_Fld_Haz_Ar_update122117,33376.66723,11075308.31
