ID,Geographic Area Name,Total,Hispanic or Latino,White,Black or African American, American Indian and Alaska Native alone,Asian,Native Hawaiian and Other Pacific Islander alone,Two or More Races ,%Hispanic,%White,%Black,%American Indian,%Asian ,%Two or More Races 
1400000US22033002300,"Census Tract 23, East Baton Rouge Parish, Louisiana",2727,127,2394,69,10,23,0,18,4.65713238,87.78877888,2.530253025,0.366703337,0.843417675,4.65713238
1400000US22033002400,"Census Tract 24, East Baton Rouge Parish, Louisiana",2576,265,495,1700,4,55,0,9,10.28726708,19.21583851,65.99378882,0.155279503,2.135093168,4.347826087
1400000US22033002500,"Census Tract 25, East Baton Rouge Parish, Louisiana",2762,106,874,1581,2,63,2,7,3.837798697,31.64373642,57.24112962,0.072411296,2.280955829,7.204923968
1400000US22033002601,"Census Tract 26.01, East Baton Rouge Parish, Louisiana",4288,200,3702,146,5,83,1,21,4.664179104,86.33395522,3.404850746,0.116604478,1.935634328,5.480410448
1400000US22033002602,"Census Tract 26.02, East Baton Rouge Parish, Louisiana",4763,294,3287,940,2,96,1,7,6.172580307,69.01112744,19.73546084,0.041990342,2.015536427,5.038841067
1400000US22033002700,"Census Tract 27, East Baton Rouge Parish, Louisiana",1598,68,504,984,0,11,1,5,4.255319149,31.53942428,61.57697121,0,0.688360451,2.628285357
1400000US22033002801,"Census Tract 28.01, East Baton Rouge Parish, Louisiana",5647,420,3141,1566,15,315,5,16,7.437577475,55.6224544,27.73153887,0.265627767,5.578183106,8.942801488
1400000US22033002802,"Census Tract 28.02, East Baton Rouge Parish, Louisiana",4934,282,3690,500,15,330,3,8,5.715443859,74.78719092,10.13376571,0.304012971,6.688285367,9.059586542
1400000US22033003000,"Census Tract 30, East Baton Rouge Parish, Louisiana",4798,49,42,4628,5,1,0,23,1.021258858,0.875364735,96.45685702,0.104210088,0.020842018,1.542309296
1400000US22033003104,"Census Tract 31.04, East Baton Rouge Parish, Louisiana",5465,113,254,5021,4,2,0,4,2.067703568,4.647758463,91.87557182,0.073193047,0.036596523,1.335773102
1400000US22033003201,"Census Tract 32.01, East Baton Rouge Parish, Louisiana",3661,54,547,2949,5,14,0,2,1.475006829,14.94127288,80.55176181,0.136574706,0.382409178,2.895383775
1400000US22033003202,"Census Tract 32.02, East Baton Rouge Parish, Louisiana",3702,78,878,2620,3,8,2,19,2.106969206,23.71690978,70.77255538,0.081037277,0.216099406,3.322528363
1400000US22033003300,"Census Tract 33, East Baton Rouge Parish, Louisiana",4962,43,52,4747,2,5,0,7,0.866586054,1.04796453,95.66706973,0.040306328,0.10076582,2.378073358
1400000US22033003400,"Census Tract 34, East Baton Rouge Parish, Louisiana",6567,110,150,6188,3,3,0,18,1.675041876,2.284148013,94.22871935,0.04568296,0.04568296,1.766407797
1400000US22033003501,"Census Tract 35.01, East Baton Rouge Parish, Louisiana",2383,425,179,1699,0,24,0,0,17.83466219,7.511540076,71.29668485,0,1.007133865,3.357112883
1400000US22033003504,"Census Tract 35.04, East Baton Rouge Parish, Louisiana",5954,67,78,5731,7,1,4,5,1.12529392,1.310043668,96.25461874,0.117568021,0.016795432,1.192475647
1400000US22033003505,"Census Tract 35.05, East Baton Rouge Parish, Louisiana",4076,372,270,3329,7,4,1,7,9.126594701,6.624141315,81.67320903,0.171736997,0.098135427,2.404317959
1400000US22033003506,"Census Tract 35.06, East Baton Rouge Parish, Louisiana",6774,266,526,5736,9,123,0,21,3.92677886,7.764983761,84.67670505,0.132860939,1.815766165,3.498671391
1400000US22033003507,"Census Tract 35.07, East Baton Rouge Parish, Louisiana",5570,146,411,4858,10,41,0,9,2.621184919,7.378815081,87.21723519,0.179533214,0.736086176,2.603231598
1400000US22033003601,"Census Tract 36.01, East Baton Rouge Parish, Louisiana",3784,301,659,2506,10,224,0,22,7.954545455,17.4154334,66.22621564,0.264270613,5.919661734,8.139534884
1400000US22033003603,"Census Tract 36.03, East Baton Rouge Parish, Louisiana",2337,439,484,1316,2,30,0,14,18.7847668,20.71031237,56.31151048,0.085579803,1.283697047,4.107830552
1400000US22033003604,"Census Tract 36.04, East Baton Rouge Parish, Louisiana",5638,1213,290,3723,11,274,5,19,21.51472153,5.143667967,66.03405463,0.195104647,4.85987939,7.112451224
